pin,bank,site,tile,pin_function
U17,14,IOB_X0Y156,LIOB33_X0Y155,IO_L22P_T3_A05_D21_14
U18,14,IOB_X0Y155,LIOB33_X0Y155,IO_L22N_T3_A04_D20_14
V17,14,IOB_X0Y154,LIOB33_X0Y153,IO_L23P_T3_A03_D19_14
W17,14,IOB_X0Y153,LIOB33_X0Y153,IO_L23N_T3_A02_D18_14
W18,14,IOB_X0Y152,LIOB33_X0Y151,IO_L24P_T3_A01_D17_14
W19,14,IOB_X0Y151,LIOB33_X0Y151,IO_L24N_T3_A00_D16_14
W21,14,IOB_X0Y150,LIOB33_SING_X0Y150,IO_25_14
L22,15,IOB_X0Y249,LIOB33_SING_X0Y249,IO_0_15
K28,15,IOB_X0Y248,LIOB33_X0Y247,IO_L1P_T0_AD0P_15
K29,15,IOB_X0Y247,LIOB33_X0Y247,IO_L1N_T0_AD0N_15
L30,15,IOB_X0Y246,LIOB33_X0Y245,IO_L2P_T0_AD8P_15
K30,15,IOB_X0Y245,LIOB33_X0Y245,IO_L2N_T0_AD8N_15
N30,15,IOB_X0Y244,LIOB33_X0Y243,IO_L3P_T0_DQS_AD1P_15
M30,15,IOB_X0Y243,LIOB33_X0Y243,IO_L3N_T0_DQS_AD1N_15
N29,15,IOB_X0Y242,LIOB33_X0Y241,IO_L4P_T0_AD9P_15
M29,15,IOB_X0Y241,LIOB33_X0Y241,IO_L4N_T0_AD9N_15
R29,15,IOB_X0Y240,LIOB33_X0Y239,IO_L5P_T0_AD2P_15
P29,15,IOB_X0Y239,LIOB33_X0Y239,IO_L5N_T0_AD2N_15
M28,15,IOB_X0Y238,LIOB33_X0Y237,IO_L6P_T0_15
L28,15,IOB_X0Y237,LIOB33_X0Y237,IO_L6N_T0_VREF_15
K25,15,IOB_X0Y236,LIOB33_X0Y235,IO_L7P_T1_AD10P_15
K26,15,IOB_X0Y235,LIOB33_X0Y235,IO_L7N_T1_AD10N_15
P26,15,IOB_X0Y234,LIOB33_X0Y233,IO_L8P_T1_AD3P_15
N26,15,IOB_X0Y233,LIOB33_X0Y233,IO_L8N_T1_AD3N_15
N27,15,IOB_X0Y232,LIOB33_X0Y231,IO_L9P_T1_DQS_AD11P_15
M27,15,IOB_X0Y231,LIOB33_X0Y231,IO_L9N_T1_DQS_AD11N_15
